                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.72869,                0.87741,                0.87071,                0.97772,                    0.5,                  0.995,                  0.398,                 2.2453,                 2.0323,                 2.0715,             0.00076306,             0.00076306,             0.00076306
                     36,                0.72876,                0.88087,                0.87692,                0.97749,                    0.5,                  0.995,                0.44775,                 2.1417,                 1.9207,                 2.0218,             0.00077346,             0.00077346,             0.00077346
                     37,                0.76489,                0.88742,                0.88314,                0.97749,                    0.5,                  0.995,                0.44775,                 2.1417,                 1.9207,                 2.0218,              0.0007832,              0.0007832,              0.0007832
                     38,                0.70589,                0.87117,                0.89272,                0.97262,                      1,                  0.995,                0.54725,                  1.815,                  1.766,                 1.6718,             0.00079228,             0.00079228,             0.00079228
                     39,                 0.6276,                0.83818,                 0.8713,                0.97461,                      1,                  0.995,                0.54725,                 1.8749,                 1.6682,                 1.7494,              0.0008007,              0.0008007,              0.0008007
                     40,                0.59671,                0.82385,                0.89723,                0.97461,                      1,                  0.995,                0.54725,                 1.8749,                 1.6682,                 1.7494,             0.00080846,             0.00080846,             0.00080846
                     41,                0.59831,                0.79899,                0.84854,                0.96373,                      1,                  0.995,                 0.4975,                 2.2018,                  1.451,                  2.175,             0.00081556,             0.00081556,             0.00081556
                     42,                0.66348,                0.83619,                0.85565,                0.96444,                      1,                  0.995,                0.44775,                 2.3009,                 1.2997,                 2.4344,               0.000822,               0.000822,               0.000822
                     43,                0.57095,                0.72941,                0.85651,                0.96444,                      1,                  0.995,                0.44775,                 2.3009,                 1.2997,                 2.4344,             0.00082778,             0.00082778,             0.00082778
                     44,                0.59638,                0.80063,                0.84651,                0.96941,                      1,                  0.995,                 0.4975,                 2.1564,                 1.2894,                 2.3347,              0.0008329,              0.0008329,              0.0008329
                     45,                 0.5462,                0.77218,                0.83115,                0.96941,                      1,                  0.995,                 0.4975,                 2.1564,                 1.2894,                 2.3347,             0.00083736,             0.00083736,             0.00083736
                     46,                0.56369,                0.76744,                 0.8567,                0.97547,                      1,                  0.995,                 0.4975,                 1.9966,                 1.2825,                 2.1155,             0.00084116,             0.00084116,             0.00084116
                     47,                0.54624,                0.81722,                0.86426,                0.97547,                      1,                  0.995,                 0.4975,                 1.9966,                 1.2825,                 2.1155,              0.0008443,              0.0008443,              0.0008443
                     48,                0.52277,                0.80911,                0.86272,                0.97305,                      1,                  0.995,                 0.4975,                 1.9639,                  1.288,                 1.9381,             0.00084678,             0.00084678,             0.00084678
                     49,                0.51366,                 0.7691,                0.82276,                0.97305,                      1,                  0.995,                 0.4975,                 1.9639,                  1.288,                 1.9381,              0.0008486,              0.0008486,              0.0008486
                     50,                 0.5072,                0.82014,                0.85347,                0.97461,                      1,                  0.995,                0.54725,                 1.9232,                 1.2605,                 1.7247,             0.00084975,             0.00084975,             0.00084975
                     51,                0.53128,                0.87357,                0.85424,                0.97461,                      1,                  0.995,                0.54725,                 1.9232,                 1.2605,                 1.7247,             0.00084184,             0.00084184,             0.00084184
                     52,                0.52631,                0.80161,                  0.849,                0.98233,                      1,                  0.995,                0.49914,                 1.9976,                 1.1799,                  1.776,             0.00084184,             0.00084184,             0.00084184
                     53,                0.48156,                0.75362,                0.83067,                0.98233,                      1,                  0.995,                0.49914,                 1.9976,                 1.1799,                  1.776,             0.00082533,             0.00082533,             0.00082533
                     54,                 0.4934,                0.75477,                0.82283,                0.99328,                      1,                  0.995,                0.44887,                  2.126,                 1.0676,                 1.9632,             0.00080883,             0.00080883,             0.00080883
                     55,                 0.5152,                0.71814,                0.86588,                0.99328,                      1,                  0.995,                0.44887,                  2.126,                 1.0676,                 1.9632,             0.00079233,             0.00079233,             0.00079233
                     56,                0.45979,                0.67881,                0.84758,                0.99535,                      1,                  0.995,                0.44775,                  2.149,                 1.0237,                 2.0277,             0.00077582,             0.00077582,             0.00077582
                     57,                0.44662,                0.70729,                0.82677,                0.99535,                      1,                  0.995,                0.44775,                  2.149,                 1.0237,                 2.0277,             0.00075932,             0.00075932,             0.00075932
                     58,                0.46675,                0.71011,                0.84329,                0.99338,                      1,                  0.995,                0.54725,                 1.9949,                0.88135,                 1.8532,             0.00074282,             0.00074282,             0.00074282
                     59,                0.49287,                0.72109,                0.86708,                0.99338,                      1,                  0.995,                0.54725,                 1.9949,                0.88135,                 1.8532,             0.00072631,             0.00072631,             0.00072631
                     60,                0.40884,                0.69129,                0.80823,                0.98665,                      1,                  0.995,                 0.4975,                 1.9395,                0.89371,                 1.8535,             0.00070981,             0.00070981,             0.00070981
                     61,                0.39683,                0.68067,                0.81237,                0.98665,                      1,                  0.995,                 0.4975,                 1.9395,                0.89371,                 1.8535,             0.00069331,             0.00069331,             0.00069331
                     62,                0.46303,                0.71472,                0.83163,                0.98663,                      1,                  0.995,                 0.4975,                 2.0595,                0.93211,                 2.0058,              0.0006768,              0.0006768,              0.0006768
                     63,                0.52593,                0.72488,                0.84057,                0.98663,                      1,                  0.995,                 0.4975,                 2.0595,                0.93211,                 2.0058,              0.0006603,              0.0006603,              0.0006603
                     64,                0.52031,                0.75236,                0.85888,                0.99021,                      1,                  0.995,                 0.4975,                 1.9956,                0.91863,                 1.9793,              0.0006438,              0.0006438,              0.0006438
                     65,                0.40279,                 0.6837,                0.80643,                0.99021,                      1,                  0.995,                 0.4975,                 1.9956,                0.91863,                 1.9793,             0.00062729,             0.00062729,             0.00062729
                     66,                0.40412,                0.72969,                0.80776,                0.99519,                      1,                  0.995,                0.54725,                 1.8528,                 0.9079,                 1.8619,             0.00061079,             0.00061079,             0.00061079
                     67,                0.47869,                0.69164,                0.83507,                0.99519,                      1,                  0.995,                0.54725,                 1.8528,                 0.9079,                 1.8619,             0.00059429,             0.00059429,             0.00059429
                     68,                0.55012,                0.66066,                0.82287,                 0.9956,                      1,                  0.995,                0.54725,                  1.921,                0.91297,                 1.9125,             0.00057778,             0.00057778,             0.00057778
                     69,                0.46612,                0.65732,                0.82854,                 0.9956,                      1,                  0.995,                0.54725,                  1.921,                0.91297,                 1.9125,             0.00056128,             0.00056128,             0.00056128
                     70,                0.42399,                0.72583,                0.83002,                0.99567,                      1,                  0.995,                0.49837,                 2.1349,                0.99316,                 2.1643,             0.00054478,             0.00054478,             0.00054478
                     71,                0.41613,                0.63567,                0.84459,                0.99567,                      1,                  0.995,                0.49837,                 2.1349,                0.99316,                 2.1643,             0.00052827,             0.00052827,             0.00052827
                     72,                0.45555,                0.68349,                0.81074,                0.99674,                      1,                  0.995,                0.49834,                 2.1237,                 1.0063,                 2.1432,             0.00051177,             0.00051177,             0.00051177
                     73,                0.43583,                 0.6725,                0.82676,                0.99674,                      1,                  0.995,                0.49834,                 2.1237,                 1.0063,                 2.1432,             0.00049527,             0.00049527,             0.00049527
                     74,                0.41441,                0.63423,                0.85145,                0.99496,                      1,                  0.995,                0.54812,                 1.9782,                0.99308,                 1.9155,             0.00047876,             0.00047876,             0.00047876
                     75,                  0.354,                0.62343,                0.82137,                0.99496,                      1,                  0.995,                0.54812,                 1.9782,                0.99308,                 1.9155,             0.00046226,             0.00046226,             0.00046226
                     76,                0.41666,                0.65005,                0.82141,                 0.9944,                      1,                  0.995,                0.54815,                 1.9518,                 0.9142,                  1.838,             0.00044576,             0.00044576,             0.00044576
                     77,                0.37108,                0.60116,                0.80538,                 0.9944,                      1,                  0.995,                0.54815,                 1.9518,                 0.9142,                  1.838,             0.00042925,             0.00042925,             0.00042925
                     78,                0.37002,                0.61703,                0.82397,                0.99517,                      1,                  0.995,                0.49792,                 2.0345,                0.88402,                  1.907,             0.00041275,             0.00041275,             0.00041275
                     79,                0.36814,                0.62008,                0.80381,                0.99517,                      1,                  0.995,                0.49792,                 2.0345,                0.88402,                  1.907,             0.00039625,             0.00039625,             0.00039625
                     80,                0.38999,                 0.6295,                0.80444,                 0.9964,                      1,                  0.995,                0.49793,                 2.0509,                0.85483,                 1.9159,             0.00037974,             0.00037974,             0.00037974
                     81,                0.39273,                0.60931,                0.82251,                 0.9964,                      1,                  0.995,                0.49793,                 2.0509,                0.85483,                 1.9159,             0.00036324,             0.00036324,             0.00036324
                     82,                0.38232,                0.58172,                0.81726,                0.99654,                      1,                  0.995,                0.49794,                 2.0159,                0.84277,                 1.9249,             0.00034674,             0.00034674,             0.00034674
                     83,                0.35499,                0.59577,                0.78974,                0.99654,                      1,                  0.995,                0.49794,                 2.0159,                0.84277,                 1.9249,             0.00033023,             0.00033023,             0.00033023
                     84,                0.35002,                0.59092,                0.80998,                0.99619,                      1,                  0.995,                 0.5477,                 1.9602,                0.80255,                 1.9504,             0.00031373,             0.00031373,             0.00031373
                     85,                0.35151,                 0.6027,                0.80225,                0.99619,                      1,                  0.995,                 0.5477,                 1.9602,                0.80255,                 1.9504,             0.00029723,             0.00029723,             0.00029723
                     86,                 0.3685,                0.58274,                0.81092,                0.99613,                      1,                  0.995,                 0.5477,                 1.9534,                0.80024,                 1.9569,             0.00028072,             0.00028072,             0.00028072
                     87,                0.33014,                0.55004,                0.80098,                0.99613,                      1,                  0.995,                 0.5477,                 1.9534,                0.80024,                 1.9569,             0.00026422,             0.00026422,             0.00026422
                     88,                0.32128,                0.54846,                0.78012,                 0.9961,                      1,                  0.995,                0.49796,                 2.0034,                0.81001,                 1.9938,             0.00024772,             0.00024772,             0.00024772
                     89,                  0.345,                0.56185,                0.81816,                 0.9961,                      1,                  0.995,                0.49796,                 2.0034,                0.81001,                 1.9938,             0.00023121,             0.00023121,             0.00023121
                     90,                0.31303,                0.55422,                0.80967,                0.99622,                      1,                  0.995,                0.49795,                 2.0325,                0.87798,                 1.9479,             0.00021471,             0.00021471,             0.00021471
                     91,                0.31989,                0.66471,                0.76688,                0.99622,                      1,                  0.995,                0.49795,                 2.0325,                0.87798,                 1.9479,             0.00019821,             0.00019821,             0.00019821
                     92,                0.31521,                0.68286,                0.81526,                0.99639,                      1,                  0.995,                0.49795,                 2.0101,                0.85918,                 1.9114,              0.0001817,              0.0001817,              0.0001817
                     93,                0.29656,                0.67146,                0.80023,                0.99639,                      1,                  0.995,                0.49795,                 2.0101,                0.85918,                 1.9114,              0.0001652,              0.0001652,              0.0001652
                     94,                0.31942,                0.66242,                0.79295,                0.99645,                      1,                  0.995,                0.49795,                 1.9425,                 0.8466,                 1.8332,              0.0001487,              0.0001487,              0.0001487
                     95,                0.29532,                0.65915,                0.80222,                0.99645,                      1,                  0.995,                0.49795,                 1.9425,                 0.8466,                 1.8332,             0.00013219,             0.00013219,             0.00013219
                     96,                 0.2934,                0.64477,                0.79116,                0.99644,                      1,                  0.995,                0.54769,                 1.9056,                0.83254,                 1.7922,             0.00011569,             0.00011569,             0.00011569
                     97,                0.29522,                0.64615,                0.78681,                0.99644,                      1,                  0.995,                0.54769,                 1.9056,                0.83254,                 1.7922,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     98,                0.31148,                0.65593,                0.79185,                0.99647,                      1,                  0.995,                0.54725,                 1.9023,                 0.8216,                  1.779,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     99,                0.26465,                0.62051,                0.79632,                0.99647,                      1,                  0.995,                0.54725,                 1.9023,                 0.8216,                  1.779,              6.618e-05,              6.618e-05,              6.618e-05
                    100,                0.28292,                0.63099,                0.77301,                0.99659,                      1,                  0.995,                0.54725,                 1.9186,                0.85602,                 1.7894,             4.9677e-05,             4.9677e-05,             4.9677e-05
